heavy_threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,light_model,heavy_model,light_recall_target,light_threshold,routed_rate
0.32936207023988445,0.2868401165928965,0.8570967741935483,0.42983094718110487,78875,6606,443,2657,9263,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.32462171620405184,0.2821656050955414,0.8574193548387097,0.4246006389776358,78719,6762,442,2658,9420,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.3201904921874467,0.27774877310222407,0.8580645161290322,0.4196576477084484,78564,6917,440,2660,9577,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.3153110264089117,0.2733716868707623,0.8583870967741936,0.4146797568957457,78408,7073,439,2661,9734,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.3107229622010919,0.26923465776968963,0.8590322580645161,0.409976137325841,78253,7228,437,2663,9891,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.30556609516749317,0.2653264331210191,0.86,0.4055369637967752,78099,7382,434,2666,10048,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.30144044029023626,0.2614404703576678,0.8606451612903225,0.40105223600150325,77944,7537,432,2668,10205,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.2973124511343656,0.2576722640416908,0.8612903225806452,0.3966721140989452,77789,7692,430,2670,10362,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.29308299671169186,0.25411160756725926,0.8622580645161291,0.39253983405536386,77635,7846,427,2673,10519,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.28891491367667965,0.25056200824278757,0.8629032258064516,0.38835656213704994,77480,8001,425,2675,10676,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.28488644876715785,0.24711529585525707,0.8635483870967742,0.3842675662097179,77325,8156,423,2677,10833,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
0.28114964337895076,0.24358507734303914,0.8635483870967742,0.379985805535841,77168,8313,423,2677,10990,LogisticRegression,HeavyCatBoost,0.9,0.28669347624897124,0.4413361781871959
