threshold,precision,recall,f1,tn,fp,fn,tp,predicted_fraud_count,positive_prediction_rate,trial_name,model_family
0.028435515239834785,0.09004158066349577,0.9709677419354839,0.16480056941060528,55062,30419,90,3010,33429,0.3773834117925966,xgb_d8_sqrt_weight,XGBoost
0.028185907751321793,0.08953937592867757,0.9719354838709677,0.16397278911564625,54844,30637,87,3013,33650,0.37987830347365686,xgb_d8_sqrt_weight,XGBoost
0.027927540242671967,0.08901420093885624,0.9725806451612903,0.16310080874198696,54625,30856,85,3015,33871,0.3823731951547171,xgb_d8_sqrt_weight,XGBoost
0.027668576687574387,0.08849323908133634,0.9732258064516129,0.16223482913451456,54405,31076,83,3017,34093,0.38487937593840665,xgb_d8_sqrt_weight,XGBoost
0.02740328013896942,0.08798158186163083,0.9738709677419355,0.16138343935425245,54186,31295,81,3019,34314,0.3873742676194669,xgb_d8_sqrt_weight,XGBoost
0.027138905599713326,0.0874185608802664,0.9738709677419355,0.16043576458084227,53965,31516,81,3019,34535,0.3898691593005272,xgb_d8_sqrt_weight,XGBoost
0.02689448371529579,0.08686269996547359,0.9738709677419355,0.1594991546914624,53744,31737,81,3019,34756,0.3923640509815875,xgb_d8_sqrt_weight,XGBoost
0.026642214506864548,0.0863138633959459,0.9738709677419355,0.15857341702339994,53523,31958,81,3019,34977,0.39485894266264776,xgb_d8_sqrt_weight,XGBoost
0.026382572948932648,0.08582874026933349,0.974516129032258,0.15776280745730847,53304,32177,79,3021,35198,0.397353834343708,xgb_d8_sqrt_weight,XGBoost
0.026164451614022255,0.08534967108049352,0.9751612903225807,0.15696149951971752,53085,32396,77,3023,35419,0.3998487260247683,xgb_d8_sqrt_weight,XGBoost
0.025909176096320152,0.08482042648709315,0.9751612903225807,0.15606608156943727,52864,32617,77,3023,35640,0.40234361770582855,xgb_d8_sqrt_weight,XGBoost
0.025686245411634445,0.08429770502774601,0.9751612903225807,0.15518082184748852,52643,32838,77,3023,35861,0.4048385093868888,xgb_d8_sqrt_weight,XGBoost
0.025484392419457436,0.08382984619648053,0.9758064516129032,0.1543958147250223,52421,33060,75,3025,36085,0.4073672683758368,xgb_d8_sqrt_weight,XGBoost
0.02524506486952305,0.08334710516168127,0.9761290322580645,0.15358067299396033,52201,33280,74,3026,36306,0.4098621600568971,xgb_d8_sqrt_weight,XGBoost
0.025022361427545547,0.082870205601336,0.9764516129032258,0.15277462336285866,51981,33500,73,3027,36527,0.41235705173795734,xgb_d8_sqrt_weight,XGBoost
0.024797312915325165,0.08239904212474149,0.9767741935483871,0.15197751455531017,51761,33720,72,3028,36748,0.4148519434190176,xgb_d8_sqrt_weight,XGBoost
0.02455083839595318,0.08190646217100814,0.9767741935483871,0.15113928473383412,51540,33941,72,3028,36969,0.4173468351000779,xgb_d8_sqrt_weight,XGBoost
0.02434789575636387,0.08144224564422456,0.9770967741935483,0.1503524272808498,51318,34163,71,3029,37192,0.41986430498639665,xgb_d8_sqrt_weight,XGBoost
0.024095091968774796,0.08095899930507297,0.9770967741935483,0.14952855802932322,51096,34385,71,3029,37414,0.4223704857700861,xgb_d8_sqrt_weight,XGBoost
0.02389422245323658,0.08050802423211818,0.9774193548387097,0.1487627651217596,50875,34606,70,3030,37636,0.42487666655377565,xgb_d8_sqrt_weight,XGBoost
0.023698052391409874,0.08008452192287374,0.9780645161290322,0.14804687500000002,50653,34828,68,3032,37860,0.4274054255427236,xgb_d8_sqrt_weight,XGBoost
0.023517318069934845,0.07967436974789915,0.9787096774193549,0.14735308402136957,50435,35046,66,3034,38080,0.42988902812115465,xgb_d8_sqrt_weight,XGBoost
0.023287907242774963,0.07924075089423252,0.9790322580645161,0.14661481606724475,50215,35266,65,3035,38301,0.4323839198022149,xgb_d8_sqrt_weight,XGBoost
0.023061411455273628,0.07881210736721873,0.9793548387096774,0.14588438806400464,49995,35486,64,3036,38522,0.4348788114832752,xgb_d8_sqrt_weight,XGBoost
0.022854607552289963,0.07835849787069299,0.9793548387096774,0.1451069422870116,49772,35709,64,3036,38745,0.4373962813695939,xgb_d8_sqrt_weight,XGBoost
0.02265314944088459,0.07796540573833599,0.98,0.1444396900109352,49553,35928,62,3038,38966,0.4398911730506542,xgb_d8_sqrt_weight,XGBoost
0.02245575562119484,0.07752373175461875,0.98,0.143681422625804,49331,36150,62,3038,39188,0.4423973538343437,xgb_d8_sqrt_weight,XGBoost
0.02224064990878105,0.07708703374777975,0.98,0.14293107504116678,49109,36372,62,3038,39410,0.4449035346180332,xgb_d8_sqrt_weight,XGBoost
0.022046349942684174,0.07668239509474906,0.9803225806451613,0.14223865577683648,48889,36592,61,3039,39631,0.4473984262990935,xgb_d8_sqrt_weight,XGBoost
0.02182875946164131,0.07628224430392452,0.9806451612903225,0.14155336189234496,48669,36812,60,3040,39852,0.44989331798015375,xgb_d8_sqrt_weight,XGBoost
0.021639999002218246,0.07585965962968508,0.9806451612903225,0.1408254968267939,48447,37034,60,3040,40074,0.4523994987638433,xgb_d8_sqrt_weight,XGBoost
0.021428970620036125,0.07544360342474253,0.9806451612903225,0.14010830740868765,48226,37255,60,3040,40295,0.45489439044490354,xgb_d8_sqrt_weight,XGBoost
0.021247560158371925,0.0750567676967124,0.9809677419354839,0.13944424064563463,48006,37475,59,3041,40516,0.4573892821259638,xgb_d8_sqrt_weight,XGBoost
0.021073831245303154,0.07467412917004197,0.9812903225806452,0.13878686953943015,47786,37695,58,3042,40737,0.45988417380702407,xgb_d8_sqrt_weight,XGBoost
0.02089349552989006,0.0742919921875,0.9816129032258064,0.1381298229686791,47564,37917,57,3043,40960,0.4624016436933428,xgb_d8_sqrt_weight,XGBoost
0.02072073146700859,0.07391758335154562,0.9819354838709677,0.13748560330615842,47344,38137,56,3044,41181,0.46489653537440306,xgb_d8_sqrt_weight,XGBoost
0.020538443699479103,0.07354717163422057,0.9822580645161291,0.13684778212215182,47124,38357,55,3045,41402,0.4673914270554634,xgb_d8_sqrt_weight,XGBoost
0.02035669796168804,0.07315491062848356,0.9822580645161291,0.13616850013415616,46902,38579,55,3045,41624,0.46989760783915285,xgb_d8_sqrt_weight,XGBoost
0.020176848396658897,0.07279244832118532,0.9825806451612903,0.1355434419846479,46682,38799,54,3046,41845,0.4723924995202131,xgb_d8_sqrt_weight,XGBoost
0.019983189180493355,0.07241002234583749,0.9825806451612903,0.13488021963423813,46461,39020,54,3046,42066,0.47488739120127343,xgb_d8_sqrt_weight,XGBoost
0.01980295032262802,0.0720535376466137,0.9829032258064516,0.13426456332070152,46240,39241,53,3047,42288,0.4773935719849629,xgb_d8_sqrt_weight,XGBoost
0.01964278146624565,0.07167556632401026,0.9829032258064516,0.13360812084804102,46017,39464,53,3047,42511,0.47991104187128164,xgb_d8_sqrt_weight,XGBoost
0.019451718777418137,0.07130153975757009,0.9829032258064516,0.13295806606449362,45794,39687,53,3047,42734,0.4824285117576004,xgb_d8_sqrt_weight,XGBoost
0.01927514374256134,0.07098125945757187,0.9835483870967742,0.13240690478775377,45575,39906,51,3049,42955,0.48492340343866064,xgb_d8_sqrt_weight,XGBoost
